C6P_norm,I3_mfg,C4_norm,C2,Uncertain_to_Total_Words_norm,Y1,Y2
1.3172864224372778,1.0,0.6711517278703322,1.0,-0.20143485371119815,0.0,1.0
-0.7573056686823237,1.0,-0.6497646305932062,0.0,-0.2220905164992042,1.0,0.0
-0.7573056686823237,1.0,0.41088866742192737,1.0,-0.016647608387315497,1.0,0.0
-0.7573056686823237,1.0,0.3893477007988902,1.0,0.7304505197558852,1.0,1.0
0.8324738191116919,0.0,-1.3205003978508807,1.0,-0.07183352822451078,0.0,1.0
-0.7573056686823237,2.0,2.3441659170971048e-17,1.0,-0.5415608318622406,0.0,1.0
-0.7573056686823237,1.0,-0.1062417268548118,1.0,-1.1220856431073192,1.0,1.0
-0.7573056686823237,1.0,1.0306236112363463,0.0,-0.22517901138295096,1.0,0.0
-0.7573056686823237,2.0,-1.1468071475655293,1.0,1.6965894259969,1.0,1.0
-0.7573056686823237,1.0,-1.010099570119495,1.0,1.812294083675101,1.0,0.0
-0.7573056686823237,2.0,0.05002520202787117,1.0,-0.6327795459473697,1.0,1.0
-0.7573056686823237,1.0,0.2481201086544708,1.0,0.2529364719066894,1.0,1.0
0.9924730681446103,1.0,0.38025469997902783,1.0,0.9791578220429092,0.0,1.0
1.1545170036915133,1.0,-0.4307000109139654,1.0,0.6317768361154634,0.0,1.0
-0.7573056686823237,1.0,0.49058354225520817,1.0,-0.8632703156897873,1.0,1.0
-0.7573056686823237,2.0,2.3441659170971048e-17,1.0,-1.1311953718509227,1.0,1.0
-0.7573056686823237,0.0,-0.22613095679821252,1.0,0.5501196170316914,0.0,1.0
-0.7573056686823237,1.0,-0.4307000109139654,1.0,0.11767390364038126,1.0,1.0
-0.7573056686823237,1.0,0.9126484277026737,1.0,-1.0872588524968423,1.0,1.0
1.4003570554023284,0.0,-0.629239096259202,1.0,-1.42565410367284,0.0,1.0
-0.7573056686823237,1.0,1.1751711745204785,1.0,0.6792402529994921,1.0,0.0
0.9924730681446103,1.0,1.4484513659638072,1.0,-1.198129246516298e-16,0.0,1.0
